tweet,user_name,country,user_location,language
all this crap about no evidence against zeke when did it become more important to protect a celebrity than an abused woman ,Andrew Hoffman,NONE,USA,en
maga women mothers parents wakeup americafirst draintheswamp fridayfeeling ,MaryAlice,NONE,USA,und
you are the one so butthurt by a silly tweet while the lgtbq people are ones beaten bul ,Pablo,NONE,Spain,en
t is creating more jobs in china and importing workers to maga woman are delight ,Loli Braun,NONE,NONE,en
this is awful harassment by intolerant tolerate liberals spread this it s truly horrible ,Patriot Haley ,NONE,USA,en
i was stalked by my colleague ,Business Lunchbox,NONE,NONE,en
i continue to be online bullied by shad,Kev ,NONE,USA,en
guys this lyin ass woman beater of a dog that s abusive af is saying rihanna used to hit him too making like he wa ,July 13th ,NONE,NONE,en
if you were rejected by society amp family bullied and faced unadulterated hate from people you didn t ,Catherine,NONE,USA,en
i get bullied by you ,fujin,NONE,NONE,en
you re an idiot poor birds being stalked by you ,Broke and Nameless,NONE,NONE,en
what indoctrination is going on by his asian tormentors families shocking tragedy ,F SThomas,NONE,UK,en
like seriously wth i hate it when people get bullied by someone cuz people have been bullying me ever since i was in kindergarten ,Rey,NONE,NONE,en
stalked and tied up by his psycho ex girl ,Regenia Peabody,NONE,NONE,en
getting stalked by creepy men at work gt gt gt ,emily,NONE,NONE,en
i m seeing a play by myself amp i m wearing a dress i got from target kids amp i m carrying a backpack if this was a ya novel i d get bullied ,laura schmidt,NONE,NONE,en
completely wrong of employees to treat with disrespectful boycottequinox ,Deplorable Stella,NONE,NONE,en
it might ve looked like they bullied me into dropping out before finishing 10th grade but by the time they graduated high school i had 35 1,grace ,NONE,NONE,en
bullying is not acceptable in any environment made to resign bullied by cllr witham disgusted complaint onroute ,Tina T,NONE,UK,en
get 18yo girl stalked by 9yo boy marry them add a splash of royalty amp it s the recipe for hit tv pehredaarpiyaki indiantv wtf,Ishita Garg,United States,USA,en
threat of imminent state violence existing while female or queer carries a constant awareness of potential violence or abuse we adapt ,Kristen McHugh ,NONE,USA,en
omg heard she has also been bullied by that monster in school poor child for her full recovery ,UniterOne01,NONE,NONE,en
i was bullied out of a job by my line manager and her manager this ,Rachel Reeves,NONE,UK,en
teenager bullied into suicide by texts from most hated girlfriend in america ,Maureen D ,NONE,USA,en
the kids lucky he blocked me or i would have bullied him to another high school by now,Cole Wooster,NONE,NONE,en
whom is bullying my sister , ,NONE,USA,en
hi there ca you guys disclosed my private info despite me saying no to that option being harrassed endlessly now thanks ,Michael ,NONE,Canada,en
i was stalked by my colleague ,Joe,NONE,NONE,en
rape threat rape threat 242 jammfwonks,Leenie,NONE,USA,en
i d fuck that nigga up my cousin was abused by both her babydaddy s amp i didnt tolerate it a man ,Nicki ,NONE,NONE,en
sue them jesse equinox should be ashamed especially the man named scott this is getting ridiculous that trump su ,Smokey1954,NONE,USA,en
i was stalked by my colleague ,Australian World,NONE,NONE,en
he abused a woman how yall cowboy fans upset ,Jar,NONE,USA,en
so taking contract over saudi telecom company and saudi bin laden group would matter to the kid that s been stalked by 9 11 2001 whole life,Owner of Godaddy,NONE,NONE,en
you know these millennials don t respect women ,JJ Nourth,NONE,NONE,en
it s about a woman being abused by a man actually ,Christine,NONE,NONE,en
i really hate how y all treat this like you can choose who to support if you blame a woman for being sexually abused you don t support ,miles ,NONE,NONE,en
just unacceptable they treated you that way jesse i definitely know the feeling it s hurtful and wrong ,Deplorable Covfefe,NONE,NONE,en
imagine the outcome of the reverse situation rape is ,Kat Cuccia,NONE,NONE,en
kate bush being stalked by a leopard statue late 70 s mix porn d vintage ,Erotic Vintage,NONE,NONE,en
stupid experiment should have been stopped before it got to breakdowns and homophobic racist misogynistic idiots sh , Kimmy ,NONE,Scotland,en
abusers usually become stalkers it s not easy to disappear that takes time and planning abusers usually always ha ,Jen316,NONE,USA,en
i have been bullied by my own friends but 2 of them stopped but not 1,Melissa,NONE,NONE,en
so this is how you treat your people for having an opinion and exercising his right to support who he wants ,Dan,NONE,USA,en
me i think you can easily be cyber bullied by this sarah wharrevs,Sheenah Asami,NONE,Kenya,en
when you are being bullied abused or attacked by someone hold a fire agate amp meditate with it it ll send the evi , HolyPhoenix ,NONE,USA,en
i would think being told that i m going to rape you by some ,Kimberle White Davis,NONE,NONE,en
i am teamtaylor it s wrong that you have to endure this as a female to ensure your safety or not make a scene ,Angela Allan,NONE,Australia,en
i won t be bullied especially by someone whose never liked me and by another someone who hasn t liked me in a very long time ,wow thanks im cured,NONE,USA,en
17 men and 1 woman guilty of running newcastle sex ring abused females aged 13 25 ,Nargis Khan,NONE,India,en
teen girls bullied by sorority lesbians ,Erlene Moilien,NONE,NONE,en
tom is a predator the real torrie is she was stalked off of twitter by a stalker n ,Neo,NONE,USA,en
pls help your supporters in ca there must b more protection ,Sandy Krueger,NONE,USA,en
neothechosen1 was that on sesame street so to paraphrase cops will go after a cop who s being st ,Masked ,NONE,NONE,en
uk you want to now whats worse than women being harrassed the fact that people still unironically follow this account,Thomas Stratton,NONE,UK,en
