tweet,user_name,country,user_location,language
busted your hump you got bullied by leafy and everybody felt sorry for you that doesn t take talent ,Grant Rants,NONE,NONE,en
so true i have only discovered in adulthood dyscalculia and was bullied by a maths teacher who wrote me off as stupid ,Ruth Muirhead,NONE,United Kingdom,en
niggas ain t shit ,JP,NONE,NONE,en
an woman is being harrassed kindly see this matter ,Sushant K Jha,NONE,India,en
totally disproportionate unblalanced coverage of mediterranean immigrants contrasts sharply with this tr ,EKEM Branch,NONE,United Kingdom,en
i know i ve never been verbally harassed or stalked by drivers for merely occupying spac ,Darlene McLeod,NONE,Canada,en
myanmar s rohingya cornered by poverty stalked by violence ,RO AHMED SIDDIQUEE,NONE,Jeddah Saudi Arabia,en
male fuck female facial abuse sex ,Andrea Moore,NONE,NONE,en
myanmar s rohingya cornered by poverty stalked by violence by sidiquee on ,RO AHMED SIDDIQUEE,NONE,Jeddah Saudi Arabia,en
how weak are torymps when they re bollocked and bullied by a weak and feeble may as to what they can say bbcdp,i mac,NONE,Australia,en
this was fake amp photoshopped ,MrVicks,NONE,NONE,en
fucking eu csgo is pure trash i cant even stick up for a team mate who is being bullied by our own team without them talking shit smfh, S Karma ,NONE,NONE,en
no1 seriously his you sound like you admire her line annoyed me yeah sansa totally admires the woman who m ,Claudia Stark,NONE,United Kingdom,en
i fucking live for this i m excited for infinity war because of two reasons the movie itself stackie inter ,achlys,NONE,NONE,en
a woman is fleeing her islamic husband who kidnapped and abused her and the stupid uk cops are calling him a nice chap despite the evid ,Minxogynist,NONE,NONE,en
how about the game you lost 2 0 he got bullied by henderson and wijnaldum so hard that poch took him off ,edvin ,NONE,Sweden,en
teenager 16 found hanged in school toilets after being bullied by other pupils ,The Bored Mind,NONE,NONE,en
teenager 16 found hanged in school toilets after being bullied by other pupils ,TheMindFuel,NONE,NONE,en
let s this man know we love him ,Nickolas Jayke Eder,NONE,NONE,en
im being stalked and harassed by correctional officers,Melissa Leblanc,NONE,USA,en
authority has always attracted the lowest elements in the human race all through history mankind has been bullied by scum p j o rourke,Famous Quotes,NONE,NONE,en
you re a grown ass woman that says she got bullied by pre schoolers re evaluate what went wrong in your life that ,Lo Ping,NONE,NONE,en
i ve never hit a woman and frown upon who does my mother was abused and now i don t hesitat ,Mind Bender,NONE,NONE,en
hahahaha got fucking bullied by toddlers ,Cyber Tawnos,NONE,NONE,en
or people who are afraid of being doxed and stalke ,CNNisISIS ,NONE,NONE,en
emre can bullied lucas out of the club meanwhile paulinho got bullied to china by harry winks l, 200m warchest,NONE,NONE,en
i have received no end of abuse from random men on the internet for supporting a female doctor and ,Afton Cochran,NONE,United Kingdom,en
this is so disrespectful and funny to me ,Mr NoFace,NONE,Canada,en
got bullied by toddlers for being a grown ass woman pretending to be a kid ,Zounds of Peasants,NONE,NONE,en
woman abused at 13 by her uncle reveals he secretly filmed her in the shower and said she d never see her mum unle ,The Sun Woman,NONE,United Kingdom,en
and the fear of being bullied ridiculed further than i already was at school by some people,Lee,NONE,United Kingdom,en
wonder what his wife being from a smaller country bullied by russia in the past would say about this ,JustAnotherVet,NONE,NONE,en
they just sexually abused a woman,thicc,NONE,NONE,en
it s the end for us once they think we can be bullied we did not get to where we are by bending to every demands ,FabPAP,NONE,NONE,en
i get bullied daily by my friend, ,NONE,NONE,en
3 amp 4 year old kids wear velcro shoes and eat glue how the hell can you be bullied by someone who can t tie their own shoes ,AcidDragonPuncher,NONE,Canada,en
i am not happy at all will not be sending any abuse to anyone if you want a strong female don t be lazy write one ,Tfiffle wAtch,NONE,NONE,en
teenage witch sex italian woman get abused ,Alice Scott,NONE,NONE,en
reminds y all of anyone she used to post the loveliest candid photos he used to share his sharp wit now ghosts ,Jen,NONE,USA,en
fgm female genital mutilation is a islamic authorized form of child abuse why is the world silent 1500300038,Zvi Lando,NONE,Israel,en
the fate of woollim leaders always bullied by their members, ,Malaysia,NONE,en
yes quite a lot mainly in fandom and geek fb groups where admins promptly booted them for sexist remarks ,David Dylan,NONE,Netherlands,en
he was offended by stats love it he has annoyed stalked several on here strange individual ,Stephen Tudor,NONE,NONE,en
i really wonder howthis old man became president evenafter getting hated by billions ofpeople hey ,Tiffany Bieber ,NONE,USA,en
aj will never forget de gea getting bullied at every cor ,Joe Baker,NONE,United Kingdom,en
this thread is what i need in life ,mut,NONE,Indonesia,en
stalked and tied up by his psycho ex girlfriend ,Roselle Hausler,NONE,NONE,en
myanmar s rohingya cornered by poverty stalked by violence regional the star online ,Rohingya HR Int l,NONE,Bangladesh,en
jon also said that sansa admired cersei a woman who abused her and helped keep her captive emotionally for years , ,NONE,NONE,en
time and again in evangelical literature marital success is predicated on female submission amp often inadequate ,Persis,NONE,NONE,en
aj and then got bullied by adrian mariappa and jonas olsson week in week out,Joe Baker,NONE,United Kingdom,en
murdered by math hurt by destroyed by bullied by ,Jasmine McHugh,NONE,NONE,ja
wish i could breathe ,amy,NONE,NONE,en
hit the lights people forget about her gets bullied by lylals and who says deserves more stylist of the f ,julia,NONE,NONE,en
